categoryId,title,description,coverUrl,videoUrl,difficulty,duration,teacherType,enrollmentCount,hotScore,isFeatured,status
1,AI辅助科研写作的科技伦理边界,本课程聚焦AI工具在科研论文写作中的应用，探讨学术出版中AIGC使用的伦理边界。通过实际案例和工具对比，帮助高校教师理解如何合规使用AI辅助开题报告、中期报告撰写，提升科研效率的同时坚守学术诚信。,/covers/01_2ac4a843.jpg,/videos/01_2ac4a843.mp4,2,117,2,402,100.0,1,1
1,科技伦理与AI学术应用指南,本课程探讨高校教师在人工智能时代面临的科技伦理挑战，重点分析大语言模型在学术研究中的应用边界与规范。课程介绍动态更新的AI使用指南，涵盖学术诚信、数据隐私、成果署名等核心议题，帮助教师引导学生合理使用AI工具，维护学术质量与透明度。同时解析期刊伦理政策，包括同行评审、开放获取、多元包容等原则，提升教师的科技伦理素养与教学指导能力。,/covers/02_8247ff23.jpg,/videos/02_8247ff23.mp4,2,20,2,196,100.0,1,1
1,科技伦理与AI工具应用,本课程探讨人工智能时代高校教师如何运用AI工具提升教学与工作效率，同时关注科技伦理问题。课程分享实用AI工具操作经验，分析AI在教育场景中的合理应用，帮助教师在快速变化的技术环境中保持专业素养与伦理意识。,/covers/03_84d0162f.jpg,/videos/03_84d0162f.mp4,1,60,2,294,100.0,1,1
1,科技伦理与学术规范教育,本课程聚焦高校教师在科技伦理背景下的学术规范教育，探讨人工智能时代学术写作的伦理边界、查重检测的合理使用以及防范学术不端行为。通过分析实际案例，帮助教师引导学生树立正确的学术价值观，提升科研诚信意识，应对新兴技术带来的伦理挑战。,/covers/04_03657a7e.jpg,/videos/04_03657a7e.mp4,2,81,2,331,100.0,1,1
1,AI工具赋能科研的伦理应用,本课程探讨人工智能大模型在高校科研活动中的应用与伦理考量。从大模型的基本原理、发展历程到实际应用场景，分析其在科研中的赋能作用，同时强调高校教师在运用AI工具时应遵循的科技伦理规范，确保科研活动的诚信与责任。,/covers/05_c2d5e557.jpg,/videos/05_c2d5e557.mp4,2,47,2,248,100.0,1,1
2,科研诚信内涵与灰色地带解析,本课程深入探讨科研诚信的核心内涵，重点分析科研诚信的灰色地带问题，阐述科研创新的本质及其与诚信的关系。课程涵盖科研不端行为的定义与分类，包括捏造、篡改和剽窃等行为，帮助高校教师识别科研伦理风险，提升科研规范意识与实践能力。,/covers/10_81a9064e.jpg,/videos/10_81a9064e.mp4,2,174,1,500,100.0,1,1
2,科研诚信规范与案例分析,本课程基于国家科研诚信政策要求，系统讲解科研失范行为的七类主要表现，包括抄袭剽窃、数据伪造、买卖论文、虚假申报等。通过山东第一医科大学、山东大学等高校真实案例剖析，帮助高校教师识别科研诚信风险，强化学术规范意识，提升科研伦理实践能力。,/covers/11_666111d8.jpg,/videos/11_666111d8.mp4,2,19,1,185,100.0,1,1
2,科学精神与科研诚信教育,本课程通过真实案例分析，探讨科学精神的内涵与价值，强调科研诚信在高校教师工作中的重要性。课程涵盖科学精神的本质、科研失范的危害，以及如何在实际科研活动中坚守诚信原则，旨在提升教师的科研道德素养和规范意识。,/covers/12_03538d42.jpg,/videos/12_03538d42.mp4,1,10,1,163,94.32,1,1
2,科研诚信与伦理规范专题,本课程聚焦高校科研人员的诚信建设与伦理规范，深入探讨科研选题的科学性、创新性、应用性和可行性四大原则。结合国内外科研诚信案例，分析科技伦理审查要求与风险防控，强调避免低水平重复研究，引导教师坚守学术道德底线，提升科研质量与伦理意识。,/covers/13_cb10fd8d.jpg,/videos/13_cb10fd8d.mp4,2,95,1,374,100.0,1,1
2,科研诚信与学术规范教育,本课程围绕高校教师科研诚信与学术规范展开，通过案例分析讲解科研诚信的基本原则、学术失范行为的表现形式及其危害。课程强调科研诚信对学术研究可靠性和价值的重要性，帮助教师识别并防范学术不端行为，提升科研道德意识与规范实践能力，促进学术交流健康发展。,/covers/14_6c276a60.jpg,/videos/14_6c276a60.mp4,1,12,1,164,94.31,1,1
2,科研诚信与学术发表规范,本课程聚焦高校教师在科研发表过程中的诚信要求与伦理规范，涵盖研究设计、数据真实性、成果署名、期刊投稿等关键环节。通过专家讲解与案例分析，帮助教师理解科研诚信的核心原则，掌握负责任的科研实践方法，提升学术道德素养与规范发表能力。,/covers/15_5cbbc7d7.jpg,/videos/15_5cbbc7d7.mp4,1,43,1,427,100.0,1,1
2,科研诚信与学术规范导论,本课程针对高校教师和研究生，深入探讨科研诚信的重要性、学术不端行为的根源及防范措施。通过案例分析，帮助科研人员识别学术不端行为，强化科研伦理意识，提升学术规范实践能力，促进健康学术生态建设。,/covers/16_6e1ca059.jpg,/videos/16_6e1ca059.mp4,1,90,1,339,100.0,1,1
2,科研诚信：动植核心与科研精神,本课程从科研动植与核心、科研工作者的数量两方面，深入讲解科研诚信的内涵。通过陆陆续续、南伦东、王泽山等案例，阐述科研需要崇高目标、特律性付出、穿性创新和持久坚持，强调科研工作者应具备无私精神、专注投入与创新意识，以提升高校教师的科研诚信素养与职业操守。,/covers/17_a10cf2b6.jpg,/videos/17_a10cf2b6.mp4,2,11,1,161,94.68,1,1
2,科研诚信与责任伦理,本课程以奥本海默等案例探讨科研诚信与责任伦理，分析科研活动中应遵循的伦理原则，如军控五会原则，强调在核能利用等高风险领域科研人员需坚守伦理底线，避免成果滥用，维护科学公正与社会责任。,/covers/18_bd471067.jpg,/videos/18_bd471067.mp4,2,16,1,174,97.92,1,1
2,科研诚信与学术规范教育,本课程聚焦高校科研诚信问题，探讨学术不端行为如数据造假、论文抄袭等对科研质量、学术交流及社会信任的负面影响。通过案例分析，帮助教师识别科研失范风险，强化科研伦理意识，促进学术规范实践，维护学术界的公信力与健康发展。,/covers/19_59817ef6.jpg,/videos/19_59817ef6.mp4,1,12,1,162,93.51,1,1
